subjid,isExcluded_Rp,isExcluded_Ts,state_mood_Rp,state_mood_Ts,state_awake_Rp,state_awake_Ts,state_tired_Rp,state_tired_Ts,state_aroused_Rp,state_aroused_Ts,RP_strat1,TS_l_strat1,RP_strat2,TS_l_strat2,RP_strat3,TS_l_strat3,RP_strat4,TS_l_strat4,RP_stratC,TS_l_stratC,RP_stratCtxt,TS_l_stratCtxt,RP_gefuehl,TS_l_gefuehl,RP_freu,TS_l_freu,RP_aerg,TS_l_aerg
VP11,yes,no,3,3,2,3,2,2,5,5,1,1,0,1,1,0,0,1,0,0,es war teilweise verwirrend aber ansonsten angenehm,0,5,anstrengend,5,5,2,5
VP12,no,no,3,2,3,2,3,4,4,5,0,0,0,0,0,0,0,1,1,Ich habe mir eine bestimmte Situation vorgestellt in der ich wütend oder fröhlich bin,Habe versucht mich nicht allzu sehr auf das angezeigte zu konzentrieren da es dann schwierig wurde wenn das gegenteilige gezeigt werden sollte,"komisch, da man sonst nicht bewusst verschiedene Ausdrücke macht wenn keine Person vor einem steht. mit der Zeit wurde es anstrengend, vorallem weil es schnell gehen muss und man auf die Buchstaben achten muss","es war manchmal schwierig das zu zeigen was nicht zuerst gezeigt wurde, da ich schon gemerkt habe, wie die entsprechenden muskeln anfingen zu arbeiten, sofort nachdem ich das geschriebene las",3,5,3,5,2
VP13,no,no,1,2,2,2,4,3,4,4,1,0,0,1,1,0,0,1,0,0,Etwas seltsam. Fokus lag auf der Reaktion und der Bewegung der Mundwinkel. Keine wirklichen Emotionen.,0,5,Ebenfalls komisch. Fokus lag auf dem schnellen bewegen der Munswinkel. Keine wirklichen Emotionen. Sehr ermüdend.,3,5,2,4
VP14,yes,no,2,1,2,1,4,4,3,4,0,0,0,1,1,0,0,0,0,0,0,"Ich fühlte mich während der ersten Aufgabe beobachtet und hatte oft ds Gefühl, etwas falsch zu machen. Gerade der negative Gesichtsausdruck fiel mir oft schwer.","Bei dieser Aufgabe fiel es mir leichter, den Gesichtsausdruck nachzumachen, da ich länger Zeit hatte, darüber nachzudenken. Ich hatte das Gefühl, den Gesichtsausdruck besser nachmahen zu können, wenn ich mich auf den entgegengesetzten Gesichtsausdruck vorbereitet habe.",2,4,4,2,2
VP15,no,no,2,3,2,2,4,4,4,3,0,0,0,0,0,0,1,0,Ich habe mir Situationen vorgestellt in denen ich wütend bzw fröhlich war,1,Ich musste mich mehr konzentrieren als gedacht die gegensätzliche Emotion zu der angezeigten zu zeigen war schwierig bei Fehlern habe ich kurz mit mir gehadert,Wie beim ersten Mal habe ich im Kopf an Schöne bzw Ärgerliche Momente gedacht,2,"Mit m und w war es leichter die richtige Emotion zu finden, als bei der ersten Aufgabe mit der Zeit ist es schwer sich zu konzentrieren und auf die Aufgabe zu fokussieren",3,2,2,2
VP16,no,no,2,2,1,2,4,4,5,5,0,0,0,0,0,1,1,1,1,,"ich habe versucht,mich max. zu konzetrieren","ich habe versucht ,mich sehr gut zu konzentrieren",anstrengender als die erste aufgabe,3,2,3,3,2
VP17,no,no,1,1,2,3,3,2,4,4,1,0,0,1,0,0,0,0,0,0,"Nach eine Weile, gab es Konzentrationsprobleme und bei manchen Ausdrücken war ich nicht mehr sicher ob Freude oder Ärger angezeigt wurde. Ansonsten war es oft schwierig neutral zu schauen. Man hat sich selber oft dabei ertappt, dass die Augenbrauen noch etwas zugekniffen wurden oder die Mundwinkel noch leicht gefühlt nach oben zeigen",0,3,"einfacher als die erste Runde, daher konnte man sich mehr auf den Gesichtsausdruck konzentrieren.",4,3,2,4
VP18,no,no,3,3,2,1,3,3,4,4,1,0,0,0,1,1,0,0,0,0,0,"war ziemlich schwer nach 10 Minuten schon wieder die Ausdrücke zu produzieren, da die Muskulatur stets in Spannung bleibt",Nach der ersten Aufgabe war es sehr anstrengend. Augen sind müde. Schwer sich zu konzentrieren,2,2,3,3,1
VP19,no,no,2,2,2,2,4,4,5,5,1,0,0,1,1,0,0,0,0,0,"Ich konnte viel leichter lächeln, als die Augenbraunen zusammenzuziehen. Allerdings konnte ich das Letzte schneller tun und ebenfalls schneller zum neutralen Gesichtsausdruck kommen, als es beim Lächeln der Fall war. Beim Lächeln hatte ich den Eindruck, ich bekomme es ganz schlecht aus dem Gesicht.",0,2,"Dadurch, dass es schnell gehen musste, habe ich weder Freude noch Ärger gefühlz, sondern habe einfach die notwendigen Muskeln angewendet, um den richtigen Ausdruck darzustellen",4,5,2,5
VP20,no,no,2,1,1,1,5,5,4,4,0,0,0,0,1,0,0,1,0,1,"Etwas seltsam, und vorallem anstrengend, weil man permanent auf die selbe STelle des Bildschirms starrt. Und irgendwann wusste ich auch nicht mehr ob das Letzte jetzt Feude oder Ärger war, oder ob ich noch das Bild von dem WOrt davor im Kopf hatte.","Damit ich nicht zu lange überlegen musste und durcheinander gekommen wäre, habe ich versucht mir das W als lächelnden Mundund das M als eine ""Monobraue"" vorzustellen",1,"Am Anfang schwierig, weil ich das Gefühl hatte ich mache es genau falsch herum. Ich musste mich die meiste Zeit zwingen konzentriert zu bleiben, damit ich nicht vergesse welcher Buchstabe für welchen Gesichtsausdruck steht.",4,1,2,2
VP21,no,no,3,1,3,2,2,4,4,3,0,0,0,1,1,0,0,0,0,0,0,ermüdend,auch ermüdend,3,2,4,3,1
VP22,no,no,3,2,2,1,5,5,3,3,0,0,0,1,1,0,1,0,0,0,0,"sehr schwierig, äußerst anstrengend, total verkrampft","Erleichterung bei dem Wort Freude, Anspannung bei dem Wort Ärger, sehr konzentriert",4,3,5,4,2
VP23,no,no,2,4,2,2,4,4,4,2,1,0,0,0,1,1,1,0,0,0,0,"am anfang ziemlich unangenehm, da ich es sauber ausführen wollte. danach war es leichter bzw nicht mehr unangenehm.","leichter als die erste aufgabe, gegen ende eher anstrengend.",3,4,2,2,2
VP24,no,no,3,3,2,1,4,5,3,4,1,0,0,1,0,0,0,0,0,0,Etwas eintönig,0,3,etwas weniger anstrengend als die erste,3,3,2,3
VP25,no,no,2,2,2,2,4,4,4,4,1,0,1,1,0,0,0,0,0,0,es war nicht leicht und auch ein bisschen anstrengend.,0,1,"es war diesesmal ein bisschen leichter, weil man nicht so viel nachdenken musste wie bei der ersten Aufgabe.",3,3,2,3
VP26,no,no,2,1,2,2,3,3,4,4,1,0,0,0,0,0,0,0,0,1,"ganz gut, war zwischendurch schwierig sich zu konzentrieren, manchmal war ich mir bei dem schnellen Wechsel nicht mehr sicher ob nun Ärger oder Freude dran war, Zeit drüber nachzudenken welcher Gesichtsausdruck dran kommen muss ist recht kurz, da vertut man sich manchmal",ich habe bei w an weiblich und bei m an männlich gedacht das war sehr hilfreich,2,"nicht besonders anders als die erste, vielleicht war es mit Buchstaben sogar etwas einfacher und es war einfacher dass es kein gleich bzw ungleichheitszeichen gab",2,2,1,2
VP27,no,no,2,2,2,3,4,3,4,4,1,0,1,1,1,1,0,0,0,0,"war ein komisches gefühl, irgendwie lustig",0,2,"war sehr anstrengend für augen und Gesicht mir fiel das Ärgergesicht später leichter als das Freudegesicht, vorher war das andersherum zum Ende hin war es schwer sich noch komplett darauf zu konzentrieren",4,4,2,4
VP28,no,no,3,1,2,2,4,5,4,4,0,0,0,1,1,0,0,0,0,0,0,"Die Bearbeitung war in Ordnung. Ein positives Gesichtsausdruck dazustellen fiel mir etwas leicher als das ärgerliche Gesichtsaudruck. Die Reaktionszeit war auch sehr kurz, deswegen war es auch etwas schwierig schnell zu reagieren und die Gesichtsausdrücke zu ändern.",Die Vorwahrnung durch die Wörter Freude und Ärger haben mir erleichtert mein Gesichtsausdruck vorzubereiten. Das hat im Vergleich zu vorher geholfen,2,3,4,3,2
VP29,no,no,3,3,1,2,5,4,4,2,0,0,1,0,0,1,0,1,0,0,"Die Bearbeitung war ziemlich anstrengend. Zwischendurch fühlte es sich so an, als ob ich keinen der beiden Gesichtsausdrücke wirklich zeigen kann",0,4,"Die Bearbeitung der zweiten Aufgabe war etwas anstrengender als dien erste, da ich noch konzentrierter sein musste. Gerade im zweiten Durchlauf kam es mir so vor, als wären es unendlich viele Trials gewesen, sodas ich das gefühl hatte, irgendwann keinen vernünftigen Gesichtsausdruck zu produzieren.",2,4,1,3
VP30,no,no,3,3,2,2,3,3,4,4,0,0,1,0,0,0,0,0,0,1,ab und zu verwirrend,"bei dem buchstaben M an mund gedacht, bei w an Wut",2,einfacher durchzuführen als die erste,3,2,1,3
VP31,no,no,3,4,1,2,4,5,5,5,0,1,1,0,1,0,0,0,0,0,0,"Am Anfang war es noch okay, allerdings wurde es nach einer Weile ganz schön anstrengend.",Anstrengernder als die erste.,2,2,3,4,2
VP32,no,no,2,2,2,2,2,3,4,4,1,0,0,1,1,0,0,1,0,1,"Den vorgstellten Gesichtsausdruck durchzuführen, ist leichter, als den gegensätzlichen. Zum Ende hin kam ich mehr durcheinander. Freude ist schwieriger so kurz auszuführen, als Ärger.","W = Mundwinkel hoch, wie die Linien M = Augenbrauen runter wie die Striche vom M",4,"Mit der Eselsbrücke war es leicht, jedoch wurde es zum Ende hin immer schwieriger. Freude war nur noch gequält, Ärger ging leichter durchzuführen. Ich habe zum Ende hin mehr Ärger verspürt, auch wenn ich Freude ausführen sollte",3,4,1,2
VP33,no,no,3,2,3,2,2,2,5,4,0,1,1,0,0,0,0,0,0,0,0,"Man musste sich stark konzentrieren. Außerdem wurden die Augen gegen Ende hin müde. Teilweise kamen die Buchstaben so schnell hintereinander, dass ich auf einige nicht reagiert habe oder erst den falschen Gesichtsausdruck gemacht habe.","Die zweite Aufgabe ist mir leichter als die erste Aufgabe gefallen. Es war teilweise schwer, wenn man sich schon auf einen Gesichtsausdruck eingestellt hat, schnell umzuschalten,wenn ein anderer gefragt war, weshalb manchmal eine Mischung beider Gesichtsausdrücke zustande kam.",4,4,4,4,2
VP34,no,no,2,3,1,4,5,1,4,5,1,0,0,1,1,0,0,0,0,0,"Es ist sehr ermüdend quasi ferngesteuert Mimiken auf Knopfdruck zu leisten, die mit dem eigentlichen Gefühl in dem Moment nichts zu tun haben.",0,5,"Es war sehr sehr ermüdend, da die Konzentration auf einen Blickpunkt und das mechanische Reagieren auf Dauer sehr eintönig sind.",4,5,2,4
VP35,no,no,3,3,2,3,4,2,4,4,0,1,1,0,0,1,0,0,0,0,"anstrengend, emotional auslaugend, da ich jedesmal an bestimmte Ereignisse denken musste.",0,2,"nicht so anstrengend wie die erste. Weniger emotional stressig, da man sich nicht erst auf ein Gefühl einstellen musste, und dann kurzfristig umswitchen sollte. Aber das war wohl auch Sinn und Zweck des Ganzen...",2,2,1,2
VP36,no,yes,2,3,2,2,4,4,4,4,0,1,0,0,0,0,1,0,0,0,0,Es ist für mich komisch auf Signal ärgerlich zu schauen. Es war etwas körperlich anstrengend. Das Lächeln kam fast automatisch.,"Es war gut umsetzbar, ich kam zurecht, und war bereits durch Aufgabe 1 in der Übung.",2,2,4,4,2
VP37,no,no,1,2,2,3,3,2,4,4,0,0,0,0,1,0,0,1,0,0,"Die Aufgabe war etwas anstregend, besonders wenn Ärger ausgedrückt werden musste.",0,2,"Die Aufgabe war anstrengender, weil zwischen den verschiedenen Gesichtsausdrücken kürzere ""Pausen"" waren.",3,3,1,3
VP38,no,no,2,1,1,2,4,3,2,4,0,0,0,0,1,0,0,1,0,0,,0,2,Die Aufgabe warlangweilig,1,1,1,1
VP39,no,no,2,2,2,2,2,2,4,3,0,0,0,1,1,0,0,0,0,0,"künstlich Ärger zu zeigen ohne sich wirklich wütend zu fühlen erzeugt, dass man kein echter ärger Gesicht zeigen kann. Beim Lächeln ist es anders, so ein Gesichtsausdruck macht man im alltäglichen Leben",0,2,"Da man relativ kurze Zeit hatte und sehr schnell zwischen den ""Gefühlen"" abwechseln musste, war es nicht möglich diese Gefühle zum Ausdruck zu bringen. Ich fühlte mich dazu gezwingt den Ausdruck ohne den ""Gefühl"" zu äussern.",4,4,1,3
VP40,no,no,1,1,2,2,3,3,4,4,0,0,0,0,0,0,1,1,0,Ich habe mich vor allem auf das Entspannen Zwischendurch konzentriert.,0,"Merkwürdig, aber spaßig zugleich","Merkwürdig verwirrend, dennoch mit Spaß",2,3,3,3,1
VP41,no,no,2,2,2,2,3,3,3,4,0,1,0,0,1,0,1,0,0,0,0,"Angestrengt, aber auch gleichgültig/ermüdend, aber auch amüsant","Anstrengender, ermüdender und dadurch stressender/ich wurde unruhig",3,3,4,4,2
VP42,no,no,1,2,1,2,4,3,2,3,1,0,0,1,1,1,0,1,0,0,"Nicht so anstrengend wie erwartet, zum Ende wurde ich etwas müde und der Bildschirm wurde unschärfer.",0,2,"Diese Aufgabe fiel mir etwas schwerer als die erste, da ich bei dem Buchstaben ""M"" oft an meine Mutter ""Monika"" denken musste. Mit meiner Mutter verbinde ich eher Freude als Ärger.",3,3,1,2
VP43,no,no,1,3,1,2,5,4,4,4,0,0,0,0,1,0,0,1,0,0,"anstrengend, da das Fixationskreuz mit der Zeit verschwimmt.Zum Teil auch ärgerlich, wenn mir selbst Fehler aufgefallen sind.",0,2,Mit der Zeit wurde das Produzieren der Gesichtsausdrücke leichter. V.a. den Ärger konnte ich leichter produzieren.,2,2,1,3
VP44,no,no,3,3,3,2,3,3,5,5,0,0,0,0,0,1,1,0,0,0,0,"Anstregend. Es ist für mich relativ ungewöhnlich einen verärgerten Gesichtsausdruck zu machen, deshalb hatte ich damit am meisten Probleme. Das Lächeln bzw. die Freude war kein Problem.",Ähnlich wie die erste Aufgabe. Ärger zu zeigen war vor allem anstregend. Zum Ende hin ermüdend aber sonst war ich enstpannt.,4,4,3,3,1
VP45,no,no,1,2,2,2,3,4,3,3,0,0,1,0,0,1,0,0,0,1,"Die Bearbeitung der ersten Aufgabe hat sich als eindeutig schwiriger herausgestellt, als ich es mir vorher vorgestellt habe. Die in mir erzeugte Dissonanz aufgrund der unterschiedlichen Tasks, war sehr spÃ¼rbar und das werden die Daten bestimmt auch zeigen :)","Ich habe die Buchstaben verbunden mit jeweils einer positiven und einer negativen sache W fÃ¼r den Anfangsbuchstaben einer positiven Sache (wie zb mein eigener Nachname.. Name Letter Preference und so ) und M fÃ¼r den eine sehr negativ belegte Erinnerung. Ich habe versucht dementsprechend bei dem M an die Vergangenheit und den Ãrger zu denken, der durch diese Menschen verursacht wurde. Ich habe die Emotion gesucht und versucht die positive und negative gleichzeitg parat zu haben, was jedoch garnicht so einfach ist..",1,"Ich bin eindeutig erschÃ¶pfter als zuvor. Die entgegen gesetzten GeischtsausdrÃ¼cke auf ""Knopfdruck"" herzustellen und hervorzurufen kostet undglaublich viele Ressourcen. Durch die MerkbrÃ¼cke zu den jeweiligen Buchstaben (siehe andere Antwort) war es jedoch einfach als zuvor. Ebenso habe ich den Zugang zur negativen, Ã¤rgerlichen Emotion gefunden. Das hat es dann aber wiederum schwiriger gemacht, den Zugang zu den positiven Emotionen gleichzeitig aufrecht zu erhalten. Ich wÃ¼rde sagen, dass es viele Emotionale Ressource",3,2,1,2
VP46,no,no,1,2,1,3,5,3,5,4,0,0,1,0,0,1,0,0,0,0,Ãberraschend anstrgengend durch erhÃ¶hte Konzentration bei Ungleichzeichen.,0,3,Zum Ende der zweiten Aufgabe partiell unemotionalisierte GesichtsausdrÃ¼cke durch bloÃes Hochziehen der Mundwinkel. Ãbergang von 4 mal W zu M leichter als Ãbergang von 4 mal M zu W,4,3,2,2
