subjid,date,first_block,happy_letter,pseudonym,alter,geschlecht,state_mood_1,state_ruhig_1,state_erregt_1,state_wach_1,state_mued_1,state_mood_2,state_ruhig_2,state_erregt_2,state_wach_2,state_mued_2,psyc,RP_strat1,RP_strat2,RP_strat3,RP_strat4,RP_stratC,RP_stratCtxt,RP_gefuehl,RP_freu,RP_aerg,TS_l_strat1,TS_l_strat2,TS_l_strat3,TS_l_strat4,TS_l_stratC,TS_l_stratCtxt,TS_l_gefuehl,TS_l_freu,TS_l_aerg
VP13,17-Mai-2016 11:05:28,1,M,HHBLRE12DU,25,1,1,2,4,2,4,2,3,4,2,3,0,1,0,1,0,0,Etwas seltsam. Fokus lag auf der Reaktion und der Bewegung der Mundwinkel. Keine wirklichen Emotionen.,5,3,2,0,1,0,1,0,0,Ebenfalls komisch. Fokus lag auf dem schnellen bewegen der Munswinkel. Keine wirklichen Emotionen. Sehr ermüdend.,5,4
VP14,17-Mai-2016 13:15:58,2,m,GIGRAN05BU,21,1,1,1,4,1,4,2,3,3,2,4,0,0,0,1,0,0,0,"Bei dieser Aufgabe fiel es mir leichter, den Gesichtsausdruck nachzumachen, da ich länger Zeit hatte, darüber nachzudenken. Ich hatte das Gefühl, den Gesichtsausdruck besser nachmahen zu können, wenn ich mich auf den entgegengesetzten Gesichtsausdruck vorbereitet habe.",4,2,0,1,0,0,0,"Ich fühlte mich während der ersten Aufgabe beobachtet und hatte oft ds Gefühl, etwas falsch zu machen. Gerade der negative Gesichtsausdruck fiel mir oft schwer.",2,4,2
VP15,17-Mai-2016 14:56:14,1,W,LüBLWö04AM,20,2,2,2,4,2,4,3,3,3,2,4,0,0,0,0,1,Ich habe mir Situationen vorgestellt in denen ich wütend bzw fröhlich war,Ich musste mich mehr konzentrieren als gedacht die gegensätzliche Emotion zu der angezeigten zu zeigen war schwierig bei Fehlern habe ich kurz mit mir gehadert,2,3,2,0,0,0,0,1,Wie beim ersten Mal habe ich im Kopf an Schöne bzw Ärgerliche Momente gedacht,"Mit m und w war es leichter die richtige Emotion zu finden, als bei der ersten Aufgabe mit der Zeit ist es schwer sich zu konzentrieren und auf die Aufgabe zu fokussieren",2,2
VP16,18-Mai-2016 10:55:02,2,w,RUSCLU13TH,26,1,2,1,5,2,4,2,1,5,1,4,0,0,0,0,1,1,"ich habe versucht,mich max. zu konzetrieren",anstrengender als die erste aufgabe,2,3,0,0,1,1,,"ich habe versucht ,mich sehr gut zu konzentrieren",3,3,2
VP17,18-Mai-2016 19:03:42,1,M,HAGRCA05KU,27,2,1,1,4,2,3,1,1,4,3,2,0,1,0,0,0,0,"Nach eine Weile, gab es Konzentrationsprobleme und bei manchen Ausdrücken war ich nicht mehr sicher ob Freude oder Ärger angezeigt wurde. Ansonsten war es oft schwierig neutral zu schauen. Man hat sich selber oft dabei ertappt, dass die Augenbrauen noch etwas zugekniffen wurden oder die Mundwinkel noch leicht gefühlt nach oben zeigen",3,4,2,0,1,0,0,0,0,"einfacher als die erste Runde, daher konnte man sich mehr auf den Gesichtsausdruck konzentrieren.",3,4
VP18,19-Mai-2016 10:51:58,2,M,DNSCER03WA,20,1,3,2,4,1,3,3,2,4,2,3,1,1,0,1,0,0,0,Nach der ersten Aufgabe war es sehr anstrengend. Augen sind müde. Schwer sich zu konzentrieren,2,3,0,0,1,0,0,"war ziemlich schwer nach 10 Minuten schon wieder die Ausdrücke zu produzieren, da die Muskulatur stets in Spannung bleibt",2,3,1
VP19,19-Mai-2016 12:52:58,1,M,RIGRCH08KR,35,1,2,1,5,2,4,2,1,5,2,4,0,1,0,1,0,0,"Ich konnte viel leichter lächeln, als die Augenbraunen zusammenzuziehen. Allerdings konnte ich das Letzte schneller tun und ebenfalls schneller zum neutralen Gesichtsausdruck kommen, als es beim Lächeln der Fall war. Beim Lächeln hatte ich den Eindruck, ich bekomme es ganz schlecht aus dem Gesicht.",2,4,2,0,1,0,0,0,0,"Dadurch, dass es schnell gehen musste, habe ich weder Freude noch Ärger gefühlz, sondern habe einfach die notwendigen Muskeln angewendet, um den richtigen Ausdruck darzustellen",5,5
VP20,19-Mai-2016 14:50:08,1,m,HAROKU01EN,19,1,2,1,4,1,5,1,1,4,1,5,0,0,0,1,0,0,"Etwas seltsam, und vorallem anstrengend, weil man permanent auf die selbe STelle des Bildschirms starrt. Und irgendwann wusste ich auch nicht mehr ob das Letzte jetzt Feude oder Ärger war, oder ob ich noch das Bild von dem WOrt davor im Kopf hatte.",1,4,2,0,0,0,1,1,"Damit ich nicht zu lange überlegen musste und durcheinander gekommen wäre, habe ich versucht mir das W als lächelnden Mundund das M als eine ""Monobraue"" vorzustellen","Am Anfang schwierig, weil ich das Gefühl hatte ich mache es genau falsch herum. Ich musste mich die meiste Zeit zwingen konzentriert zu bleiben, damit ich nicht vergesse welcher Buchstabe für welchen Gesichtsausdruck steht.",1,2
VP21,19-Mai-2016 16:27:42,2,W,HAROME01Dä,38,1,1,3,3,2,4,3,2,4,3,2,0,0,0,1,0,0,0,auch ermüdend,2,3,0,1,0,0,0,ermüdend,3,4,1
VP22,20-Mai-2016 13:07:44,2,,HASCRE02MA,40,1,2,3,3,1,5,3,3,3,2,5,0,0,0,1,1,0,0,"Erleichterung bei dem Wort Freude, Anspannung bei dem Wort Ärger, sehr konzentriert",3,4,0,1,0,0,0,"sehr schwierig, äußerst anstrengend, total verkrampft",4,5,2
VP23,20-Mai-2016 14:52:06,2,W,HAGRTO10Tü,19,1,4,4,2,2,4,2,3,4,2,4,1,1,0,1,1,0,0,"leichter als die erste aufgabe, gegen ende eher anstrengend.",4,2,0,0,1,0,0,"am anfang ziemlich unangenehm, da ich es sauber ausführen wollte. danach war es leichter bzw nicht mehr unangenehm.",3,2,2
VP24,24-Mai-2016 15:37:30,1,W,LEGRAN04ZY,26,2,3,2,3,2,4,3,2,4,1,5,0,1,0,0,0,0,Etwas eintönig,3,3,2,0,1,0,0,0,0,etwas weniger anstrengend als die erste,3,3
VP25,25-Mai-2016 11:16:04,1,W,PHLIWE10BA,22,1,2,2,4,2,4,2,2,4,2,4,0,1,1,0,0,0,es war nicht leicht und auch ein bisschen anstrengend.,1,3,2,0,1,0,0,0,0,"es war diesesmal ein bisschen leichter, weil man nicht so viel nachdenken musste wie bei der ersten Aufgabe.",3,3
VP26,25-Mai-2016 17:22:36,1,W,AAGRPÜ05EN,19,1,2,1,4,2,3,1,1,4,2,3,0,1,0,0,0,0,"ganz gut, war zwischendurch schwierig sich zu konzentrieren, manchmal war ich mir bei dem schnellen Wechsel nicht mehr sicher ob nun Ärger oder Freude dran war, Zeit drüber nachzudenken welcher Gesichtsausdruck dran kommen muss ist recht kurz, da vertut man sich manchmal",2,2,1,0,0,0,0,1,ich habe bei w an weiblich und bei m an männlich gedacht das war sehr hilfreich,"nicht besonders anders als die erste, vielleicht war es mit Buchstaben sogar etwas einfacher und es war einfacher dass es kein gleich bzw ungleichheitszeichen gab",2,2
VP27,25-Mai-2016 19:45:44,1,W,RELILO02CA,21,1,2,2,4,2,4,2,2,4,3,3,0,1,1,1,0,0,"war ein komisches gefühl, irgendwie lustig",2,4,2,0,1,1,0,0,0,"war sehr anstrengend für augen und Gesicht mir fiel das Ärgergesicht später leichter als das Freudegesicht, vorher war das andersherum zum Ende hin war es schwer sich noch komplett darauf zu konzentrieren",4,4
VP28,26-Mai-2016 11:08:38,2,W,TRROMADEAL,24,1,1,1,4,2,5,3,2,4,2,4,0,0,0,1,0,0,0,Die Vorwahrnung durch die Wörter Freude und Ärger haben mir erleichtert mein Gesichtsausdruck vorzubereiten. Das hat im Vergleich zu vorher geholfen,3,3,0,1,0,0,0,"Die Bearbeitung war in Ordnung. Ein positives Gesichtsausdruck dazustellen fiel mir etwas leicher als das ärgerliche Gesichtsaudruck. Die Reaktionszeit war auch sehr kurz, deswegen war es auch etwas schwierig schnell zu reagieren und die Gesichtsausdrücke zu ändern.",2,4,2
VP29,26-Mai-2016 12:36:56,1,M,FUPIKö03FR,23,1,3,1,4,1,5,3,4,2,2,4,0,0,1,0,0,0,"Die Bearbeitung war ziemlich anstrengend. Zwischendurch fühlte es sich so an, als ob ich keinen der beiden Gesichtsausdrücke wirklich zeigen kann",4,2,1,0,0,1,1,0,0,"Die Bearbeitung der zweiten Aufgabe war etwas anstrengender als dien erste, da ich noch konzentrierter sein musste. Gerade im zweiten Durchlauf kam es mir so vor, als wären es unendlich viele Trials gewesen, sodas ich das gefühl hatte, irgendwann keinen vernünftigen Gesichtsausdruck zu produzieren.",4,3
VP30,26-Mai-2016 14:27:38,1,M,MUGRRE01LO,21,1,3,1,4,2,3,3,2,4,2,3,0,0,1,0,0,0,ab und zu verwirrend,2,3,1,0,0,0,0,1,"bei dem buchstaben M an mund gedacht, bei w an Wut",einfacher durchzuführen als die erste,2,3
VP31,27-Mai-2016 14:45:24,2,M,IRTüSO05SC,21,1,4,4,5,2,5,3,2,5,1,4,0,0,1,1,0,0,0,Anstrengernder als die erste.,2,4,1,0,0,0,0,"Am Anfang war es noch okay, allerdings wurde es nach einer Weile ganz schön anstrengend.",2,3,2
VP32,31-Mai-2016 12:48:20,1,W,GELITH06UX,24,1,2,1,4,2,2,2,1,4,2,3,0,1,0,1,0,0,"Den vorgstellten Gesichtsausdruck durchzuführen, ist leichter, als den gegensätzlichen. Zum Ende hin kam ich mehr durcheinander. Freude ist schwieriger so kurz auszuführen, als Ärger.",4,3,1,0,1,0,1,1,"W = Mundwinkel hoch, wie die Linien M = Augenbrauen runter wie die Striche vom M","Mit der Eselsbrücke war es leicht, jedoch wurde es zum Ende hin immer schwieriger. Freude war nur noch gequält, Ärger ging leichter durchzuführen. Ich habe zum Ende hin mehr Ärger verspürt, auch wenn ich Freude ausführen sollte",4,2
VP33,31-Mai-2016 14:48:52,2,m,HABLKU06RO,18,1,2,1,4,2,2,3,1,5,3,2,0,0,1,0,0,0,0,"Die zweite Aufgabe ist mir leichter als die erste Aufgabe gefallen. Es war teilweise schwer, wenn man sich schon auf einen Gesichtsausdruck eingestellt hat, schnell umzuschalten,wenn ein anderer gefragt war, weshalb manchmal eine Mischung beider Gesichtsausdrücke zustande kam.",4,4,1,0,0,0,0,"Man musste sich stark konzentrieren. Außerdem wurden die Augen gegen Ende hin müde. Teilweise kamen die Buchstaben so schnell hintereinander, dass ich auf einige nicht reagiert habe oder erst den falschen Gesichtsausdruck gemacht habe.",4,4,2
VP34,01-Jun-2016 11:01:56,1,W,BEGEEL01LA,30,1,2,3,4,1,5,3,2,5,4,1,0,1,0,1,0,0,"Es ist sehr ermüdend quasi ferngesteuert Mimiken auf Knopfdruck zu leisten, die mit dem eigentlichen Gefühl in dem Moment nichts zu tun haben.",5,4,2,0,1,0,0,0,0,"Es war sehr sehr ermüdend, da die Konzentration auf einen Blickpunkt und das mechanische Reagieren auf Dauer sehr eintönig sind.",5,4
VP35,01-Jun-2016 18:13:58,1,W,ASGRBE12SC,24,1,3,2,4,2,4,3,2,4,3,2,1,0,1,0,0,0,"anstrengend, emotional auslaugend, da ich jedesmal an bestimmte Ereignisse denken musste.",2,2,1,1,0,1,0,0,0,"nicht so anstrengend wie die erste. Weniger emotional stressig, da man sich nicht erst auf ein Gefühl einstellen musste, und dann kurzfristig umswitchen sollte. Aber das war wohl auch Sinn und Zweck des Ganzen...",2,2
VP36,02-Jun-2016 14:25:10,2,w,WOBLWI04TR,29,1,3,2,4,2,4,2,2,4,2,4,0,0,0,0,1,0,0,"Es war gut umsetzbar, ich kam zurecht, und war bereits durch Aufgabe 1 in der Übung.",2,4,1,0,0,0,0,Es ist für mich komisch auf Signal ärgerlich zu schauen. Es war etwas körperlich anstrengend. Das Lächeln kam fast automatisch.,2,4,2
VP37,03-Jun-2016 10:56:58,1,W,BRSCLE05PA,27,2,1,1,4,2,3,2,3,4,3,2,0,0,0,1,0,0,"Die Aufgabe war etwas anstregend, besonders wenn Ärger ausgedrückt werden musste.",2,3,1,0,0,0,1,0,0,"Die Aufgabe war anstrengender, weil zwischen den verschiedenen Gesichtsausdrücken kürzere ""Pausen"" waren.",3,3
VP38,03-Jun-2016 12:40:40,2,W,JEGRAL11IS,22,2,1,1,4,2,3,2,3,2,1,4,1,0,0,1,0,0,,2,1,1,0,0,0,1,0,0,Die Aufgabe warlangweilig,1,1
VP39,03-Jun-2016 14:50:48,1,M,BOORSA03GO,20,2,2,2,4,2,2,2,2,3,2,2,0,0,0,1,0,0,"künstlich Ärger zu zeigen ohne sich wirklich wütend zu fühlen erzeugt, dass man kein echter ärger Gesicht zeigen kann. Beim Lächeln ist es anders, so ein Gesichtsausdruck macht man im alltäglichen Leben",2,4,1,0,1,0,0,0,0,"Da man relativ kurze Zeit hatte und sehr schnell zwischen den ""Gefühlen"" abwechseln musste, war es nicht möglich diese Gefühle zum Ausdruck zu bringen. Ich fühlte mich dazu gezwingt den Ausdruck ohne den ""Gefühl"" zu äussern.",4,3
